date,open,high,low,close,size
20160104,4716.0,4732.0,4591.5,4608.0,4542
20160105,4614.0,4680.0,4596.0,4645.0,3610
20160106,4633.0,4647.5,4593.0,4620.0,3187
20160107,4625.0,4636.0,4430.0,4487.5,9067
20160108,4491.0,4562.0,4472.5,4475.0,4954
20160111,4467.5,4467.5,4381.0,4384.0,5565
20160112,4396.0,4410.0,4350.0,4358.0,4616
20160113,4366.5,4410.0,4357.0,4357.0,4030
20160114,4363.5,4430.0,4330.0,4404.5,4654
20160115,4415.5,4418.0,4318.0,4325.5,4401
20160118,4332.5,4394.0,4330.0,4380.0,3288
20160119,4378.5,4476.0,4366.0,4392.5,4743
20160120,4392.5,4412.0,4348.0,4385.0,3691
20160121,4392.0,4441.0,4353.0,4438.0,3734
20160122,4441.0,4484.0,4418.0,4444.5,3979
20160125,4446.5,4472.0,4406.0,4432.0,3762
20160126,4423.0,4544.5,4408.0,4522.0,5683
20160127,4525.0,4595.0,4505.0,4577.0,4721
20160128,4560.0,4584.0,4516.0,4543.5,4229
20160129,4543.0,4579.5,4527.5,4569.0,3049
20160201,4560.0,4565.0,4496.5,4565.0,3680
20160202,4553.0,4628.0,4526.0,4546.0,4425
20160203,4534.0,4648.0,4520.0,4644.5,4702
20160204,4648.5,4720.0,4631.5,4690.0,5379
20160205,4692.5,4696.0,4612.0,4616.0,4397
20160208,4620.0,4648.5,4573.5,4620.0,3168
20160209,4610.0,4646.5,4467.0,4508.5,5452
20160210,4518.0,4524.0,4430.0,4464.0,3828
20160211,4465.5,4497.0,4433.0,4443.0,3849
20160212,4462.0,4515.0,4448.0,4491.0,2415
20160215,4526.0,4615.0,4526.0,4565.0,4253
20160216,4569.5,4611.0,4546.0,4547.0,3894
20160217,4556.5,4608.0,4535.0,4592.0,3558
20160218,4586.5,4600.0,4552.5,4592.0,3024
20160219,4584.5,4631.5,4562.0,4606.0,3448
20160222,4622.5,4701.0,4619.0,4684.0,4316
20160223,4675.0,4681.5,4629.0,4657.0,3368
20160224,4654.0,4669.5,4580.0,4667.5,4412
20160225,4670.0,4676.0,4578.0,4609.0,4678
20160226,4612.0,4771.0,4610.0,4691.5,9156
20160229,4691.0,4715.0,4645.0,4700.0,4672
20160301,4695.0,4738.5,4636.0,4734.0,4514
20160302,4726.5,4810.0,4716.0,4810.0,5401
20160303,4800.5,4865.0,4778.0,4864.0,5261
20160304,4862.0,5059.0,4855.5,4995.5,9203
20160307,5000.0,5035.0,4940.0,5007.0,6555
20160308,4998.5,4998.5,4852.5,4888.0,7540
20160309,4881.5,4962.0,4849.5,4922.5,6125
20160310,4926.5,4942.5,4863.5,4896.0,5132
20160311,4897.5,4977.0,4892.5,4948.5,3732
20160314,4941.0,5030.0,4923.0,4954.5,5262
20160315,4946.0,4953.5,4881.5,4943.0,4500
20160316,4954.0,5000.0,4919.0,4986.0,3707
20160317,5007.0,5075.0,4980.5,5068.0,5633
20160318,5066.0,5131.0,5031.0,5048.0,5902
20160321,5039.0,5088.0,5018.0,5048.0,3692
20160322,5062.5,5073.0,5024.5,5063.5,3000
20160323,5065.0,5078.0,4944.0,4962.0,5335
20160324,4960.5,4970.5,4886.0,4958.5,4330
20160329,4969.0,4981.0,4880.0,4917.0,4704
20160330,4922.0,4930.0,4850.0,4873.0,4963
20160331,4860.0,4884.0,4816.0,4856.5,5116
20160401,4850.0,4895.5,4805.0,4812.0,4432
20160404,4809.5,4824.0,4757.5,4768.5,3035
20160405,4764.0,4811.5,4751.0,4768.5,4005
20160406,4772.0,4795.0,4751.0,4775.0,3320
20160407,4780.0,4799.0,4631.0,4635.0,6702
20160408,4650.0,4680.0,4633.0,4665.0,4611
20160411,4667.0,4703.5,4633.5,4668.5,3946
20160412,4654.5,4788.0,4640.0,4780.0,6359
20160413,4787.0,4855.0,4775.0,4837.0,5883
20160414,4845.0,4845.5,4778.0,4840.0,4297
20160415,4830.0,4843.5,4765.5,4806.0,3753
20160418,4772.5,4844.0,4758.0,4825.0,5489
